MAXIMUM_TEMPERATURE;MINIMUM_TEMPERATURE;CALCULATED_RADIATION;RAINFALL;WINDSPEED;HUMMAX;E0;ES0;ET0
21;13;4258;0;;97.4;;;1.52
21.9;11.7;5413;0;;97.4;;;2.08
21.9;11.2;4434;0;;95.2;;;2.16
21.5;14.5;2777;0;;95.4;;;1.69
19.2;15.1;1485;0;;89;;;1.7
17.9;14;2962;0.2;;85;;;1.83
16;8;2095;1.2;;84.5;;;1.49
16.3;12.9;1926;3.2;;98;;;1.15
17;9;4048;0;;98;;;1.61
19.3;8;4984;0;;92.1;;;2.02
19;10.4;3980;0;;97.3;;;1.65
19.1;10.4;4411;0;;98;;;1.61
17;9.2;2762;4.4;;94;;;1.69
15;11.3;1300;21.8;;97.5;;;1.26
17;10;2898;1.2;;97.4;;;1.55
16.1;10;1788;0;;97.7;;;1.21
14.8;11.7;831;9.8;;97.8;;;1.41
13.8;11;1294;4.6;;94.9;;;1.45
15.2;7.9;3312;0;;97.7;;;1.25
17.7;7.3;4153;10;;98;;;1.84
16;10;2493;11.6;;97.4;;;1.33
16.7;9.1;2312;2.8;;98;;;1.19
18.1;11.9;2637;3.8;;98;;;1.45
12.6;10.7;382;26.8;;98;;;0.94
16.2;9.9;2617;2.8;;97.4;;;1.18
16.1;9.1;2491;0.4;;97.4;;;1.2
13.2;10.1;1693;2.8;;97.4;;;1.03
14.9;6.1;3092;0.4;;97;;;1.25
16.2;9;3245;0.6;;97.4;;;1.39
18;8;5145;0;;97.6;;;1.74
19;6.1;5773;2.8;;98.4;;;1.44
13.3;7.4;3523;3.6;;90;;;1.43
14;3.3;3679;0;;98.2;;;1.23
14.1;8.4;2443;0;;97.5;;;0.82
13.8;7.1;2920;1.8;;97.2;;;1.32
15;6.4;2856;0;;97.5;;;0.71
14.9;9.6;2108;14.8;;98;;;1.41
15.1;8.5;3104;0;;97.3;;;1.41
16.2;6.9;3733;0;;97.8;;;0.92
16;8.7;2602;0.2;;97.7;;;0.84
13.7;10;781;3;;96.8;;;1.61
12.9;10.7;305;0.6;;94.8;;;1.29
14.3;11;1137;4;;97.5;;;0.8
15.4;9.4;2390;0;;97.5;;;1.15
15;8.9;2726;0;;97.5;;;1.07
15;7.3;2750;0;;97.2;;;1.06
14.9;8.9;3431;0.4;;97.4;;;1.04
15.9;5;5123;0.2;;98;;;1.2
15.8;5.4;5846;0;;93.1;;;1.82
14.1;2.1;5502;0;;97.7;;;1.14
13.7;4;5493;0;;97.4;;;1.77
12.3;1.4;4544;0;;97.5;;;1.67
12;4.9;4022;0;;98;;;1.06
16.3;2.3;5606;0.2;;98.8;;;1.34
10;7.9;739;19;;97.3;;;0.73
9.2;5.9;2661;2.2;;97;;;1.51
6.1;0.1;2714;11.6;;98.4;;;1.33
8.9;0.3;2854;23.6;;98.5;;;0.87
10;5;1937;48;;97.6;;;0.97
9.4;4.8;1643;3.8;;97.4;;;1.33
8.4;4.8;761;47;;97.7;;;0.82
8.2;6;863;7.8;;95.2;;;1.08
7.7;4;891;15.8;;95;;;1.18
13;5;2847;0;;94.9;;;0.99
14.1;8.2;2371;0.2;;95;;;1.07
14.8;8.4;3275;0;;94.9;;;1.17
14.3;7.1;3112;0;;94.2;;;1.43
12.1;8;1664;0;;94.7;;;1.07
13.8;7;3269;0;;94.7;;;1.33
13;6.9;2274;0.2;;90.8;;;1.33
17.2;8.2;5263;0;;81.3;;;1.96
14.8;7;4811;0;;91;;;1.88
15.2;5.1;6288;0;;97.5;;;1.96
13.9;3.9;5126;0;;94;;;1.68
15.9;6.1;7458;0;;95.8;;;2.1
14;0.8;7628;0;;96;;;1.5
12;3.4;5853;0.2;;96;;;1.31
13;2.1;6206;0.2;;95.2;;;1.66
12;4.6;4647;0;;95.2;;;1.19
13.1;3.9;6688;0;;96;;;1.47
10.1;2;4375;0.2;;97.3;;;1.19
12;3.9;5089;11;;95.1;;;1.66
8.5;4;2501;0;;97.6;;;1.28
10.3;3;5102;0;;96;;;1.41
10.5;2;5842;0;;95.3;;;1.49
13.7;2;6315;0;;95;;;1.77
12.8;7;2666;13.6;;95;;;1.5
13.2;8;3541;0.2;;94.3;;;1.2
12.6;5.9;4027;1.6;;94.3;;;1.21
10;6;2602;8.6;;97.3;;;0.96
12.1;4;3044;0;;84.9;;;1.79
17;9.2;4983;0.6;;97;;;1.39
16.5;9.3;3108;0.2;;97.1;;;1.31
13.2;12.2;2631;0.8;;96.2;;;0.99
13;4;7063;0.6;;96.7;;;1.72
15.2;3.4;8127;0;;96.9;;;2.44
15.2;6;5353;1.4;;95.4;;;1.46
14;9;3383;0.2;;91;;;1.58
15.4;7.5;6913;0.2;;95.2;;;1.8
20;5.1;11373;0.2;;95;;;2.84
16.2;5;8363;0;;91;;;2.16
18.7;6.6;9558;0.2;;95.5;;;2.73
17.5;7.1;7959;0;;93.3;;;2.14
22.2;8;11250;0.2;;93.5;;;3.26
14.6;8.1;4529;0;;95;;;1.65
16.1;8.1;5422;0;;96.3;;;1.81
14;9.5;3439;0;;96.5;;;1.57
15.1;7.6;7155;0;;96;;;1.7
18.1;5.4;11200;0;;96.5;;;3.26
16.7;5.5;9164;0;;95;;;2.79
13.2;7.3;5658;0;;95.7;;;1.81
15.6;4.9;7526;0;;96.8;;;2.42
13.1;9;1308;1.2;;97;;;0.87
16.1;11;4353;0.2;;95;;;1.6
15.9;9;6441;13;;95;;;2.12
15.4;7.4;5463;0.4;;95;;;1.92
13.3;9.7;3169;16.2;;95;;;1.46
16.9;7.1;6780;0.2;;95;;;1.77
14;11;2099;28.6;;95.5;;;1.07
15;9.2;2737;4;;95;;;1.5
13.2;11.8;1854;0;;90;;;1.3
15;7.4;9185;0;;93;;;2.18
15.1;3.9;11499;0;;97;;;2.34
14.2;4.1;8911;0.6;;95.3;;;2.15
16;6.5;10520;0.4;;93.7;;;2.92
17.8;5;12450;0;;95.5;;;3.32
17.8;6.7;7771;0;;95;;;2.61
17;12.5;3142;0;;91.3;;;1.71
18;12;6761;1;;96;;;2.15
16.9;9.1;7278;15.2;;96.5;;;1.92
15.3;9.3;5051;18;;95.5;;;1.49
15.7;9.2;5355;7.6;;97;;;1.6
15.8;9.7;7081;0;;94.2;;;1.82
15.9;7.1;9192;0.2;;93.5;;;2.31
16;7.2;9102;2;;95;;;2.46
13;7.5;4273;13;;94.8;;;1.66
14.2;7.9;7910;7.8;;94.5;;;1.97
16.5;5;10238;1.2;;94;;;3.11
15.7;9.3;7406;0.2;;93.5;;;2.4
19;7.2;13492;0;;94;;;3.72
18.1;7;11888;0;;95;;;3.1
20.3;8.2;12546;0;;95;;;3.58
19.4;10.2;11038;0;;95;;;3.11
21.2;8.8;13018;0;;95;;;3.63
21.3;10.8;13713;0;;95;;;3.93
17;8;11287;0.2;;96;;;2.57
18.1;6.5;10670;0;;94.5;;;2.67
21.4;11;12162;0;;94;;;3.52
22;10.7;13681;0;;95.3;;;3.68
16;10;4408;0;;95;;;2.03
14.9;11.5;5014;2;;95;;;1.79
13.9;7.1;6393;24.4;;92;;;2.26
12.2;8;1901;7.8;;93.1;;;1.58
14.5;10;3480;0;;95;;;1.43
16;10;5717;0;;91;;;1.96
19.1;10;11874;0.2;;91.5;;;2.74
20.8;8.5;15392;0.2;;95;;;3.68
19;8.3;12804;0.2;;88;;;3.25
19;9;12157;0;;88;;;3.01
17;9.2;10262;0;;92.3;;;2.9
18.8;7.6;15060;0.2;;92.3;;;3.66
16.7;6.5;14545;0;;91.8;;;3.42
16;4.6;14899;0;;92.4;;;3.53
15;4.9;12503;0;;92;;;3.27
14;5.9;10822;2.6;;90.1;;;2.98
16;5;14403;0;;92.2;;;3.64
18.4;6;15006;0;;83;;;4.07
16.1;8.7;5841;0.2;;82;;;2.82
